country,region,market,commodity,unit,date,latitude,longitude,hh_size,food_consumption_score,coping_strategy_index,livelihood_type,assistance_received,market_distance_km,shock_occurred,shock_type,import_dependency,vulnerability_index,availability_score,transport_cost_index,seasonality_index,exchange_rate,urban_rural,market_type,price_usd,local_price,infl_adj_price
Kenya,Middle East,Market_4,Milk,kg,2018-03-11 22:00:51,-14.360208067187408,82.75710855130612,4,35.62742777723188,32,Small Business,None,2.7932760610434766,0,None,0.6004425029005813,0.508406906889034,0.9731485865672913,1.657418894023875,0.7290320140619269,1.0175783380179975,Rural,RETAIL,2.5941086309498673,144.75292588417196,2.5129715675703586
Afghanistan,Middle East,Market_286,Palm Oil,kg,2020-08-02 12:21:37,-4.632992824006617,72.01617954415053,1,33.22186610561257,14,pastoral,Food,7.645767242241566,0,Flood,0.7025778195333111,0.7961959602800306,0.6899697497804371,2.5242441289850372,0.5576651156329336,0.5489911383605646,rural,WHOLESALE,3.0425148187046847,200.23667494126036,2.9627884710522574
South Sudan,East Africa,Market_269,Rice,kg,2019-05-11 07:46:25,2.898266627195234,56.152961978914874,8,29.409638259800094,38,PASTORAL,None,14.438361101555648,0,,0.3259426568633775,0.479583227075304,0.7051739867561537,2.817788138171048,0.5191161014045258,0.9614684706906994,urban,Wholesale,2.471072768450759,113.6938148701846,2.577646451696829
Somalia,West Africa,Market_236,Milk,kg,2023-07-26 01:46:15,19.992339246950593,87.33226249241653,3,25.37093633899351,15,agriculture,Food,9.76560564945932,0,Drought,0.4225525263224177,0.04267970369324281,0.9046737936103055,1.9487261625859802,0.9305651643899213,1.0983115162399457,Urban,Retail,2.4926303001090275,155.46926171737343,2.516843030143812
Afghanistan,Middle East,Market_277,Sunflower Oil,kg,2018-06-09 15:31:32,-14.9207350672748,34.81575563047559,6,43.526919526290975,37,Casual Labor,Cash,5.586496727458654,1,Flood,0.5977678840997995,0.8538417480731171,0.3453252375574455,2.8129230341786453,0.4994837804113852,1.2578613137239034,Urban,wholesale,4.295884241156847,259.7755816692372,
Afghanistan,East Africa,Market_41,Wheat Flour,kg,2020-12-13 11:40:17,11.723058846142248,45.38345220284088,2,36.05066623714353,38,Small business,Food,10.366159661418104,0,Conflict,0.3083446233467966,0.2050552704595896,0.8509835157284265,1.5914919539482117,0.132395275734561,1.3620025335874821,Rural,Wholesale,2.31009808659424,122.37453554693501,2.4102931890284833
Kenya,Horn of Africa,Market_121,Beans,kg,2018-03-13 11:24:58,19.957607931563224,113.27353841882689,9,18.457227842265212,23,AGRICULTURE,Food,0.18287437171346352,1,,0.9460320244590694,0.43146208613612835,0.8868599852300607,2.3592388799769797,0.6240244517172785,1.102031303450925,Urban,Wholesale,4.274500939329211,270.1336028460904,4.467630663866462
Bangladesh,Middle East,Market_494,Goat Meat,kg,2021-07-27 04:48:42,12.211651318842634,73.99346272399293,4,33.24792056432318,20,CASUAL LABOR,,14.262429393131152,0,None,0.7512987829620366,0.02058839810622093,0.7549016995904085,1.3237065188892698,0.35436174986847635,1.2984465608586122,Urban,retail,4.021591054961466,205.98632027609543,3.8807892409387863
South Sudan,Middle East,Market_275,Goat Meat,kg,2017-08-22 03:42:01,10.685766382252034,103.95154302257286,7,41.48727593430425,37,AGRICULTURE,None,5.232246036063321,0,Drought,0.6655603650299966,0.43950102707968774,0.22824943148797,1.5076903583405818,0.04591599143734071,0.702579293491258,RURAL,Wholesale,3.855252704968783,240.65721397983665,3.85977355188521
Ethiopia,East Africa,Market_231,Goat Meat,kg,2019-03-18 13:11:35,-9.652754517438051,95.38866225181796,9,29.682899871482242,12,Casual labor,Food,14.703733018228746,1,Conflict,0.7563377984364892,0.374684698922647,0.9407499834310129,2.6384009160560495,0.3457039856060524,1.0559870822112023,RURAL,retail,5.1031515985296005,215.45286029944938,5.069234795902247
Afghanistan,West Africa,Market_304,Sorghum,kg,2022-11-20 10:09:50,-19.865499713564297,58.86381485857683,11,41.47617103847579,28,pastoral,None,10.17857253740577,0,Drought,0.31071337023094264,0.2891238045450978,0.6743832789353625,2.8728439371173415,0.9663918615756175,0.9849940607077466,Urban,wholesale,2.710726215815721,147.85963357724017,2.8253484964500997
Somalia,Horn of Africa,Market_86,Sunflower Oil,kg,2019-11-28 23:56:55,-10.960516476004898,102.32841567544116,3,11.164457659286661,33,agriculture,Cash,4.381528271139104,1,Conflict,0.10588748719175944,0.9372644713511965,0.3773702263416876,2.4435211503905707,,0.7379474598741498,URBAN,WHOLESALE,4.171930913749149,256.1977252347037,4.19107926843597
Bangladesh,Middle East,Market_63,Palm Oil,kg,2018-03-19 07:24:48,11.592004602955814,38.219019604797765,3,56.699806187723226,4,Small business,Cash,9.267476590051356,1,,0.6826176993082927,0.678287308129986,0.5894115297835103,1.3125717555260619,0.4514458749028969,0.6279658784709826,URBAN,RETAIL,3.697954235026175,186.56873187438435,
Bangladesh,West Africa,Market_404,Beans,kg,2023-07-29 19:19:18,-15.708752057370114,108.74804289118852,3,41.249551630237136,2,Casual labor,None,5.7657173020985875,0,None,0.9681839007764435,0.9154537980207892,0.6545791825304959,1.0489398068275497,0.8926532999564046,0.4155249079945431,urban,Wholesale,3.759705977529192,208.00836356573438,3.871797442922427
Ethiopia,Horn of Africa,Market_192,Sunflower Oil,kg,2017-10-21 07:43:47,-8.155265007028078,91.25040011973806,5,14.909756980578027,20,SMALL BUSINESS,Food,9.67767981883179,0,Conflict,0.6928227685045126,0.4666562754695386,0.2640296121758874,1.1664435554873531,,0.49631975382042093,urban,Wholesale,3.156502921306924,211.8570283983214,3.1294744440035154
Afghanistan,South Asia,Market_293,Sugar,kg,2018-10-18 02:25:56,2.500210839193958,113.43650852266188,10,5.0,8,AGRICULTURE,Cash,11.880843809448448,0,Conflict,0.2566754698552721,0.5161113904199932,0.6743743184469475,1.6552627255472836,0.7173301718393696,0.6688217692769718,Rural,Wholesale,1.9925020908549695,88.34492717392529,1.998023619015664
Somalia,South Asia,Market_31,Lentils,kg,2021-07-18 13:18:35,3.1924120176409154,110.59593602240146,6,40.910259317927064,2,Agriculture,Food,7.1148592682505765,0,Drought,0.8727283688707349,0.948857969188115,0.6961066782096634,1.6653021989283014,0.9395254571330862,1.3360045979237445,URBAN,Retail,3.522099596044007,214.53483566671295,3.6844765134355613
South Sudan,Horn of Africa,Market_330,Wheat Flour,kg,2022-10-28 03:32:47,1.7195476178119016,64.2235832011859,3,26.704601136451636,29,Casual labor,Cash,3.4095462944855024,0,Drought,0.6210509530492648,0.4577630151898856,0.8364293021662377,1.085879594555859,0.036071758703754786,0.6973010019900103,Urban,Wholesale,2.5631249572832493,103.95702957851502,2.5121895329260364
Nigeria,East Africa,Market_146,Sugar,kg,2018-10-19 23:18:13,19.23533981498165,107.11492696824315,10,41.637497051348724,2,Casual Labor,Cash,14.723651460981007,0,Conflict,0.6558017098000073,0.03109481596598962,0.9379308273318354,2.972923140946439,0.872253994973524,1.014072460496981,RURAL,retail,2.8512014358926017,,2.8045151278247453
Somalia,Horn of Africa,Market_107,Fish,kg,2022-03-08 22:11:27,-19.508576173964116,80.67144648174013,9,48.08981519843896,38,AGRICULTURE,None,6.248439217552309,0,Drought,0.561984973099188,0.6451702271367803,0.5697094115096721,2.1022928549134834,0.2909626763116937,0.4044076401693032,Urban,Retail,4.575402845859635,303.60584174626285,4.581670255745932
Ethiopia,Horn of Africa,Market_359,Millet,kg,2023-09-14 15:19:57,-0.49605959682903134,44.140288472999345,1,28.674701118781293,33,Agriculture,None,2.7281793278944333,0,Flood,0.7606342463089143,0.19795563525067772,0.4236186321795661,1.101733159092411,0.5102855640863319,1.036562886880618,Rural,retail,1.7527731445139163,100.51299542138264,1.8120389625085616
Bangladesh,East Africa,Market_110,Maize,kg,2021-07-01 16:36:00,0.17682481311360831,104.65957770521554,7,46.81562435128491,16,Casual labor,Food,11.11427860288915,0,Conflict,0.9632815298704785,0.9533845324606136,0.7435395209968221,2.3514086284778593,0.6114228679337828,1.166405034986426,Rural,Wholesale,2.7998206101857734,152.16307242312155,2.683146907240687
South Sudan,East Africa,Market_276,Lentils,kg,2020-01-12 02:38:19,-8.267114675161991,111.71277827762421,11,48.79446691991864,13,Pastoral,None,9.863663411421202,1,Flood,0.4372581591196545,0.06938255117095471,0.31930502227379165,2.7330406869557735,0.40445035084780545,1.2616096066901346,Rural,Wholesale,4.295896466973729,197.05867429402005,4.446734683626227
Somalia,West Africa,Market_210,Sunflower Oil,kg,2022-03-10 14:39:11,1.0028510263509105,37.609248689318946,9,43.37518974989397,10,small business,None,12.26728748077656,0,Conflict,0.622762757528815,0.8975494439407418,0.27897141433123784,1.5142209708992973,0.45306140395653716,0.5987454939493436,Urban,Retail,3.631083370607625,174.51930042424317,
Nigeria,West Africa,Market_139,Millet,kg,2021-10-31 21:55:52,6.9311936320230245,113.74975596993376,5,53.89890414073086,0,Small business,None,0.12497580894367474,1,None,0.8687891833002742,0.1450326550553055,0.8261189443600707,2.599540625548469,0.2839510102323455,0.5142649476335767,Urban,Wholesale,3.6070539972121525,248.59955231413707,3.596213274955292
Nigeria,East Africa,Market_86,Sunflower Oil,kg,2022-02-23 15:52:18,6.910236306023187,84.11384186569107,3,26.985477530753045,0,AGRICULTURE,Cash,5.274988325000913,0,Drought,0.8910016775369393,0.2579614192049382,0.8896871794163066,2.7723562772443833,0.7879101579314868,0.8755900724010404,rural,wholesale,3.7320212731123927,174.18470047504212,3.755854880948638
Kenya,South Asia,Market_44,Millet,kg,2018-05-16 02:00:00,-16.485720970332377,32.33076738619917,10,21.654336797551448,14,Agriculture,Food,4.786495415324489,1,Flood,0.840766867054698,0.15203896778781023,0.8510512883093639,1.274344224878543,0.201503035101383,1.018726581203877,RURAL,wholesale,3.20221885370185,144.26302944458297,3.2205609738997687
Kenya,South Asia,Market_82,Sorghum,kg,2020-06-14 17:06:04,12.098399226582664,78.76151681433457,4,18.27218405664365,1,Casual labor,Food,13.865183339844652,1,None,0.6047267943250307,0.33319480638615073,0.9113762986361966,1.827710083920977,0.5575905761508209,0.7861743040032494,Rural,Wholesale,7.819759562321165,160.76043913402907,3.0861582174287756
Yemen,Horn of Africa,Market_64,Chickpeas,kg,2020-11-23 10:44:40,17.228393203428567,101.70741308550387,8,38.748675101024226,11,SMALL BUSINESS,Food,5.3100571930253935,0,None,0.9426049207818624,0.1066985996047789,0.4216044684094442,1.1846261849962887,0.43209065204168573,0.5704642055476629,rural,wholesale,3.090062149582124,152.64719250148806,3.0004112678100108
Ethiopia,Middle East,Market_378,Chickpeas,kg,2019-11-20 12:44:01,-15.055525681496128,77.9863302421698,3,43.29574703111295,1,SMALL BUSINESS,,7.955741664470032,0,Flood,0.25290368440177924,0.3743615452274124,0.7023021124639848,1.0428749939003177,0.582801373584956,1.1905782520482098,Urban,Retail,3.463734934759028,190.93568789109446,3.5214177189570086
Afghanistan,Horn of Africa,Market_418,Goat Meat,kg,2023-09-17 05:41:45,-3.3343885717871835,93.6521628562075,5,45.57652116012578,22,AGRICULTURE,Food,0.15252588397045733,0,Conflict,0.28287337300682264,0.3101803800362124,0.6893785074215346,2.5285316261420414,0.5490817700954281,0.9907690493379508,Urban,WHOLESALE,3.7857215232912353,207.89558070825385,3.91708887419581
Somalia,Horn of Africa,Market_343,Salt,kg,2021-04-02 13:41:25,0.47000911148210633,109.16244586895216,3,37.334178432639206,33,Pastoral,Food,12.14139178564838,0,None,0.2953863124659484,0.7419413746210103,0.2354870730876769,1.1636752545654776,0.3676061466285928,1.172020781608773,Urban,Retail,1.4258502668211033,94.66561245986769,1.4308251710901498
Somalia,Middle East,Market_321,Millet,kg,2023-01-30 21:37:41,-14.607132426243478,108.27853591398365,6,41.77139745279832,16,AGRICULTURE,Cash,1.7982834690085452,0,Drought,0.4621757007643943,0.6112508950672964,0.2204315333315619,2.0997185840264523,0.585249062622842,1.2083379651344535,Urban,Wholesale,2.0285795529428556,134.44230388400376,1.9622549634614832
Afghanistan,East Africa,Market_55,Beans,kg,2021-11-11 10:21:31,0.13536200876217563,46.09829261419857,1,41.940792408425835,13,Agriculture,,13.2467536969177,0,,0.700574289584634,0.68342436239642,0.9006207459560915,1.975357321201398,0.3167786726469436,1.1550627349131846,Urban,RETAIL,3.616880103996665,,
Yemen,South Asia,Market_74,Beans,kg,2017-12-05 05:55:14,-11.725646535024739,68.44170225860219,7,43.23459451597617,10,Agriculture,None,11.05312827283993,0,None,0.4787120381750889,0.49062736633324233,0.2141586035669626,1.9709032462666538,0.3408496656877652,0.5783786018218998,RURAL,wholesale,3.4401143132571637,168.70564495202632,3.553989860183218
Bangladesh,Horn of Africa,Market_373,Onion,kg,2021-06-09 16:30:34,17.414438297151435,40.00485592920883,11,44.15356540820315,19,Small business,Cash,8.390211130872618,0,None,0.954870189152126,0.8530557789389044,0.7839703945779388,2.7862313625873814,,0.42520661432007856,Urban,Retail,1.7280832376969988,85.18875339989526,1.7277025664701822
Bangladesh,Middle East,Market_129,Millet,kg,2023-03-01 01:21:09,-2.061186326963611,83.55880353747402,6,48.856333019742095,6,pastoral,Cash,11.261382865164936,0,None,0.31656787609318143,0.3537154619416266,0.5435920675714528,2.1701443154175974,0.4259221433375012,0.5957416794238792,urban,Wholesale,2.063806421899607,126.26327150899746,2.1242576353279
Yemen,West Africa,Market_256,Vegetables,kg,2022-02-16 05:14:53,19.796050053868576,115.92540760310962,6,23.09143183450936,0,PASTORAL,Cash,11.914064700793112,0,Flood,0.832941394113206,0.40234855065502284,0.23155100039339516,2.9144342936716843,0.812082143789887,1.3725839646918765,Rural,retail,2.37519704919835,154.42199868277416,2.4302600130057814
Bangladesh,Horn of Africa,Market_422,Milk,kg,2018-11-21 01:09:37,-18.139554069301347,46.36622756728113,3,29.210948926877904,14,small business,Food,11.300941574161305,0,Drought,0.8038327714620324,0.09665518745334367,0.8807240025994874,2.4745810401406056,0.6932840440826907,1.0711634744496998,rural,Retail,2.951280791076453,,2.8624653769409942
Kenya,South Asia,Market_231,Lentils,kg,2022-07-02 04:32:15,-14.896770225513407,66.32673274068306,1,43.84712742450956,37,Pastoral,Cash,9.947363411058292,0,Flood,0.39787996863019504,0.9990458593646858,0.5117277656114392,1.956438082972262,0.08273288718844463,1.3920804378630691,URBAN,Retail,3.0614837295833714,143.28536811167675,3.1637122647923452
Somalia,East Africa,Market_497,Sugar,kg,2022-09-08 12:08:55,-2.27156797840475,115.862411999162,11,18.12527466278869,33,Small business,Cash,13.222280485154942,0,None,0.5236055405118655,0.4521372134617657,0.7883182773487385,1.2527194334767173,,0.53710514184114,URBAN,Wholesale,2.541381707585766,139.28848738046239,2.479315935297465
Yemen,Horn of Africa,Market_137,Beans,kg,2022-06-22 12:50:20,14.974371397277302,97.51064037732019,1,36.35328451717771,8,casual labor,Cash,6.40303799915717,1,,0.7854358766089278,0.9156671676969809,0.6007580090391988,2.175046619209656,0.47537589629582955,1.239737123229412,Rural,Retail,4.714330085063255,265.4137689468513,4.5511501527632605
Somalia,Horn of Africa,Market_351,Maize,kg,2020-03-03 09:55:49,2.20903161444706,36.40525311635038,7,50.27819047589033,0,CASUAL LABOR,Food,8.53588815909548,1,,0.8687937427790379,0.8526827059990552,0.8954547117837397,2.383726192489777,0.38848355472604423,0.9299818510184699,urban,Wholesale,3.8262850825082806,213.7446848892962,3.6623786588264613
Afghanistan,Middle East,Market_455,Fish,kg,2019-06-05 12:19:11,9.293728825960255,68.55740099158282,4,,8,SMALL BUSINESS,Cash,14.543765200741086,0,Conflict,0.7142300490452603,0.25934723738334364,0.6017615228585667,2.9037226929533073,0.16540724550966457,1.28434438689034,urban,RETAIL,4.8085453127655855,308.58238615915246,5.025394094126631
Nigeria,West Africa,Market_401,Palm Oil,kg,2020-05-27 00:27:57,-3.057473710018101,118.90971493658897,6,45.69506622066945,1,SMALL BUSINESS,Food,5.646475320662667,0,Conflict,0.9300097679786352,0.5012921878476009,0.8040851786239673,1.6016897970320902,0.19822026246963864,0.975503754312813,Urban,RETAIL,2.561733861451184,125.04396091655398,2.5749450424034994
Kenya,West Africa,Market_355,Salt,kg,2017-12-18 14:32:48,-18.37951856608022,70.7918338633595,4,42.73043772591584,21,small business,None,11.288663102244714,0,Conflict,0.6580865677235443,0.5881545019724903,0.680033003549138,2.9961094984558883,0.08548761046987297,1.0634690610063537,rural,WHOLESALE,1.824053411715628,74.25798023579136,
South Sudan,East Africa,Market_112,Maize,kg,2019-05-24 07:59:52,5.912502337351931,86.64612689432599,8,49.31806504098684,24,small business,Food,5.937899038292442,0,Flood,0.4652954340466757,0.8449898381475281,0.8251725986757581,1.1239206335279446,0.006422316538404971,1.0629614827243454,urban,Wholesale,1.8141091598110863,123.19959697594977,
Kenya,South Asia,Market_485,Salt,kg,2022-12-23 06:10:20,5.360058285268927,93.08790309562708,9,43.00476391933542,13,small business,None,7.105550091561465,1,Flood,0.6607207089364945,0.0973962217866442,0.28720339457485217,1.4287613953423317,0.6238969057731768,1.3016362193571498,Urban,RETAIL,2.8094011958657843,,2.711065952893396
Yemen,East Africa,Market_308,Salt,kg,2020-07-30 12:16:12,-17.14287871374995,89.75382508638006,2,45.77064105023998,34,SMALL BUSINESS,None,5.1009375318642185,0,Flood,0.6507914675686188,0.828234441893459,0.4834235075547196,2.9475395573372416,0.175044370700433,0.684006683089273,urban,WHOLESALE,1.869453104470629,79.91015175855959,1.9627227585575344
South Sudan,Horn of Africa,Market_146,Milk,kg,2021-12-22 20:22:29,-13.164741230468561,76.68466131368206,1,,15,PASTORAL,None,2.3808356075281885,0,Drought,0.597183061598656,0.1120054005350799,0.49367612071728156,1.8267014983851562,0.9865259494868417,0.7523875857810023,Urban,Wholesale,3.0148877137737573,153.44028558648895,3.110716167865794
Nigeria,Horn of Africa,Market_447,Maize,kg,2018-05-07 10:07:52,-0.9537680444872336,41.95161187418953,1,38.629315629519816,18,casual labor,Cash,14.58582827486451,0,Flood,0.37570583727902085,0.4488454561229511,0.2895124259047254,2.973291085807051,0.34803983341236144,0.47449148875797476,RURAL,RETAIL,1.9580303917353314,117.73837225624278,1.9012844882463504
Yemen,West Africa,Market_33,Sorghum,kg,2019-01-18 16:44:13,-2.1344964902409487,93.75733740724624,7,35.172880543196996,30,CASUAL LABOR,Food,6.7648542364948225,0,Flood,0.7005239883383721,0.8621622161041724,0.9166537830685138,2.9777927728239684,0.18747951892439607,0.9336812884421931,URBAN,Retail,2.554428052944462,166.16717302586537,2.6186959324059473
Ethiopia,South Asia,Market_260,Palm Oil,kg,2023-11-12 21:50:28,10.096700015170349,113.9995085440238,2,53.87646446252535,1,Agriculture,Food,4.262275869794937,0,Flood,0.8206619830571426,0.23364472386554613,0.41289489587042394,1.5961577601706203,0.2227652484631717,0.7927055219431476,Urban,Wholesale,2.95001274572571,179.3219385574995,2.9548096473502765
Somalia,Middle East,Market_87,Lentils,kg,2021-08-03 05:46:28,-4.503474523132663,114.75269825449101,3,36.50209306220537,31,Casual Labor,Cash,9.729619840598206,0,Drought,0.9629446045534702,0.04621019065824028,0.8224247967637015,1.947525705796151,0.6519818771545087,0.981508843627977,rural,wholesale,3.373602688898014,209.79945010491272,3.424113495683614
Nigeria,South Asia,Market_331,Wheat Flour,kg,2023-11-08 01:53:49,6.532009553026587,83.40504655535096,4,43.78567493981131,35,CASUAL LABOR,Food,1.7528581741984066,0,Drought,0.5477592943023712,0.04778112558064329,0.5891136713141445,1.4163451725829233,0.43550219322038264,1.3389913120473147,urban,Wholesale,2.895451354550819,174.5967495865926,2.8110099012651446
Somalia,Horn of Africa,Market_436,Maize,kg,2017-10-06 11:34:37,8.176941601910293,74.29777402299993,9,47.35205711482064,10,Agriculture,Cash,8.196760998722237,1,Flood,0.7770795618888897,0.18885633772729626,0.9102666389073415,2.6487615196860785,0.017907913605321513,0.6036554803369564,Urban,wholesale,3.8619292119421322,231.29158798508976,3.8560950776162395
Bangladesh,Middle East,Market_265,Maize,kg,2022-06-17 17:10:27,5.80015438103451,60.05649902925309,10,24.4318148107128,7,AGRICULTURE,Cash,8.654345232685692,0,Flood,0.8217577723819078,0.5410162164650435,0.7837826884671963,1.2779995913151931,0.08769953215225412,0.9990847482051853,urban,Wholesale,2.1882826998886165,143.3148286698655,
Ethiopia,South Asia,Market_320,Salt,kg,2021-08-14 20:42:41,3.845022876178149,39.321208982978725,2,37.66278061804234,4,SMALL BUSINESS,Food,3.019723846626469,0,Conflict,0.7066431969946414,0.8928741739748164,0.8060942840059602,1.3297935140547872,0.3264285677030083,0.5619425732015009,Urban,Wholesale,1.3908078822775072,63.50006285236933,1.3949783242465574
Ethiopia,South Asia,Market_30,Chickpeas,kg,2019-11-16 18:02:56,12.227339226074008,109.48060418547823,10,31.791262571627264,33,SMALL BUSINESS,None,14.398252415995128,0,None,0.44108578311776847,0.7089432520155634,0.5895496950112636,2.611262233686859,0.13333167890649744,0.6891550980646284,Urban,retail,3.2431038983392724,136.27972224384888,3.324381544335496
Nigeria,Middle East,Market_392,Tomato,kg,2021-07-01 11:12:41,6.2842789393484075,42.334807852507176,2,33.404928264033416,31,Casual Labor,None,8.960710532356885,0,Drought,0.744515192644129,0.8049400113683394,0.5114010269445701,2.559198230884232,0.031209871864932848,0.9920279235152663,URBAN,wholesale,2.278970577395366,133.69762619647045,2.2440241702333963
Ethiopia,Horn of Africa,Market_232,Sugar,kg,2019-12-19 07:39:57,13.36737385649296,55.915115650629694,1,48.126774788955686,5,AGRICULTURE,None,3.416995555425907,1,,0.9798002893695608,0.24660864344633082,0.5748259277981124,,0.8915319365105614,0.7831382955965376,Urban,Wholesale,4.406749932490105,270.9724938879072,4.292730899717148
South Sudan,South Asia,Market_389,Sunflower Oil,kg,2018-12-14 16:54:23,5.467421071336339,96.63586236772271,8,24.187415791622715,7,SMALL BUSINESS,Cash,12.518252768008363,1,Conflict,0.6458459556309972,0.3824898773141474,0.5915954104031202,1.4157276666585021,0.6337916727265241,0.74679606253485,Urban,Retail,4.193504571436608,170.7053628058537,4.260209876364588
Ethiopia,Middle East,Market_76,Palm Oil,kg,2022-10-01 19:54:26,-13.641079325028427,93.42873152962969,8,34.752606720667245,33,PASTORAL,None,4.674861785589481,0,None,0.7643167153680671,0.5243558282775703,0.24712452342652408,2.4299912928702962,0.37711742066609266,1.2589823477654012,Urban,Wholesale,2.7770964887470226,167.2387919910313,2.820583031650965
Somalia,Horn of Africa,Market_447,Millet,kg,2023-03-24 02:06:08,-7.622183744386529,91.2911478628824,5,41.20577271503532,3,Small Business,Cash,10.975649742052612,0,Flood,0.31320771393797703,0.36763491521221014,0.285056447419977,1.7945902459970422,0.9894116236410644,1.2701582795670163,Urban,Wholesale,1.998981005993673,102.97467015269164,2.0122815120069295
Somalia,Middle East,Market_129,Millet,kg,2018-11-07 14:03:40,-6.78578670062517,96.75362959094194,3,36.939885001668486,35,Small business,Cash,9.462779609081027,0,,0.68938650580064,0.752314813743961,0.4315451089252367,2.3079252771529215,0.9958961905127518,0.9540746458015981,urban,retail,2.141395443562068,129.36969277196636,2.1443850859257183
